Date		Price	Open	High	Low	Vol.	Change%	
12-Aug-16	807.05	805.09	807.19	803.64	897.28K	-0.14%	
15-Aug-16	805.96	807.21	811.36	804.03	930.07K	-0.14%	
16-Aug-16	801.19	803.5	804.26	797	1.06M	-0.59%	
17-Aug-16	805.42	800	805.63	796.3	1.07M	0.53%	
18-Aug-16	802.75	805.36	808	801.63	865.16K	-0.33%	
19-Aug-16	799.65	799.79	801.23	796.88	1.12M	-0.39%	
22-Aug-16	796.95	798.51	799.3	794.33	853.37K	-0.34%	
23-Aug-16	796.59	800.48	801	795.99	917.51K	-0.05%	
24-Aug-16	793.6	796.86	798.46	790.76	1.28M	-0.38%	
25-Aug-16	791.3	792	794.72	787.23	1.20M	-0.29%	
26-Aug-16	793.22	792.49	799.4	789.41	1.25M	0.24%	
29-Aug-16	795.82	793.05	798.52	790.32	773.70K	0.33%	
30-Aug-16	791.92	792.88	798	789.47	1.17M	-0.49%	
31-Aug-16	789.85	789.6	791.57	787.2	1.07M	-0.26%	
1-Sep-16	791.4	791.98	792.89	786.33	1.30M	0.20%	
2-Sep-16	796.87	795.27	797.1	793.26	1.35M	0.69%	
6-Sep-16	808.02	798.39	810.89	795.43	1.99M	1.40%	
7-Sep-16	807.99	807.93	810.6	803.72	1.15M	0.00%	
8-Sep-16	802.84	805.22	808.42	801.01	1.18M	-0.64%	
9-Sep-16	788.48	798.77	801.75	788.05	1.89M	-1.79%	
12-Sep-16	798.82	784.52	800.17	783.5	1.86M	1.31%	
13-Sep-16	788.72	794.01	795.79	784.33	1.81M	-1.26%	
14-Sep-16	790.46	787.53	796.33	787.53	1.31M	0.22%	
15-Sep-16	801.23	790.01	803.64	788.66	1.57M	1.36%	
16-Sep-16	797.97	799.02	799.02	793.62	2.13M	-0.41%	
19-Sep-16	795.39	801.11	803.99	793.56	1.15M	-0.32%	
20-Sep-16	799.78	800	802.75	798.26	1.05M	0.55%	
21-Sep-16	805.03	801.26	805.91	796.03	1.35M	0.66%	
22-Sep-16	815.95	810	819.06	807.71	1.76M	1.36%	
23-Sep-16	814.96	815.14	817	812.73	1.41M	-0.12%	
26-Sep-16	802.65	809.82	810.08	800.45	1.47M	-1.51%	
27-Sep-16	810.73	801.83	813.49	801.83	1.37M	1.01%	
28-Sep-16	810.06	804.08	810.25	802.78	1.47M	-0.08%	
29-Sep-16	802.64	807.23	813.91	800.86	1.35M	-0.92%	
30-Sep-16	804.06	803.6	808.09	801.5	1.66M	0.18%	
3-Oct-16	800.38	802.55	803.54	796.23	1.49M	-0.46%	
4-Oct-16	802.79	805	806.5	799.67	1.26M	0.30%	
5-Oct-16	801.23	806	808.5	800.71	1.21M	-0.19%	
6-Oct-16	803.08	804.08	806.95	800.51	1.10M	0.23%	
7-Oct-16	800.71	805.93	805.94	796.82	1.16M	-0.30%	
10-Oct-16	814.17	803.93	817.38	802.24	1.50M	1.68%	
11-Oct-16	809.57	814.17	819.86	807.37	1.72M	-0.56%	
12-Oct-16	811.77	811.96	814.5	808.55	907.88K	0.27%	
13-Oct-16	804.08	806.07	806.56	798.62	1.37M	-0.95%	
14-Oct-16	804.6	807.45	810.09	802.32	1.11M	0.06%	
17-Oct-16	806.84	805.99	813.49	803.83	1.06M	0.28%	
18-Oct-16	821.49	814.21	828.81	813.33	2.29M	1.82%	
19-Oct-16	827.09	824.52	829.81	823.21	1.50M	0.68%	
