Date	        Price	Open	High	Low	Vol.	Change%
9-Oct-16	616.56	620.5	620.91	614.43	2.74K	-0.63%	
10-Oct-16	618.87	616.56	620	615.91	3.09K	0.37%	
11-Oct-16	641.74	618.87	645.98	618.06	12.53K	3.70%	
12-Oct-16	637.63	641.87	644.07	637.26	3.85K	-0.64%	
13-Oct-16	637.01	637.63	643.67	636.38	5.01K	-0.10%	
14-Oct-16	643	637.01	645.4	636.72	6.64K	0.94%	
15-Oct-16	640.2	643	645.69	637.91	2.40K	-0.44%	
16-Oct-16	644.17	640.2	645.8	639.82	2.39K	0.62%	
17-Oct-16	639.79	644.18	644.56	637.77	5.02K	-0.68%	
18-Oct-16	638.8	639.79	641.65	632.93	6.09K	-0.15%	
19-Oct-16	631.77	638.68	643.9	627.84	8.99K	-1.10%	
20-Oct-16	632.46	631.77	633.61	628	3.34K	0.11%	
21-Oct-16	636.73	632.46	639	632	7.22K	0.68%	
22-Oct-16	664.99	636.73	670.98	635.06	10.09K	4.44%	
23-Oct-16	659.03	664.99	671.4	656.04	5.73K	-0.90%	
24-Oct-16	654.65	659.03	659.03	654.01	5.70K	-0.66%	
25-Oct-16	659.52	654.65	670	652.65	5.52K	0.74%	
26-Oct-16	678.7	659.52	685.61	658.46	11.69K	2.91%	
27-Oct-16	688.67	678.7	690.62	676.69	12.93K	1.47%	
28-Oct-16	693.47	688.67	695.02	681.59	10.10K	0.70%	
29-Oct-16	714.51	693.47	723.99	692.28	15.28K	3.03%	
30-Oct-16	702.55	714.51	716.61	697.77	12.20K	-1.67%	
31-Oct-16	704.09	702.55	706	688	10.56K	0.22%	
14-Nov-16	707.43	708.13	709	699	6.01K	0.47%	
15-Nov-16	712.17	707.43	720.01	707.4	7.94K	0.67%	
16-Nov-16	744.99	712.17	747.49	710.13	17.95K	4.61%	
17-Nov-16	740.67	744.98	762.41	735	14.89K	-0.58%	
18-Nov-16	753.97	740.67	756.94	734.5	6.96K	1.80%	
19-Nov-16	752.9	753.97	759.99	740.01	6.04K	-0.14%	
20-Nov-16	729.67	752.9	757	712.02	13.91K	-3.09%	
21-Nov-16	738.99	729.67	740.6	728.08	7.20K	1.28%	
22-Nov-16	750.05	738.99	753.91	733.27	9.48K	1.50%	
23-Nov-16	741.99	749.85	750.91	730.79	5.58K	-1.07%	
24-Nov-16	737.68	742	744.32	727.61	6.07K	-0.58%	
25-Nov-16	740.36	737.68	741.12	730	4.06K	0.36%	
26-Nov-16	731.19	740.36	740.99	720	4.49K	-1.24%	
27-Nov-16	724.99	731.19	736.19	722.5	3.49K	-0.85%	
28-Nov-16	731.52	724.9	734.99	724.9	4.14K	0.90%	
29-Nov-16	731.05	731.52	733.93	728.68	5.65K	-0.06%	
30-Nov-16	739	731.05	743.14	729.13	5.53K	1.09%	
1-Dec-16	755.36	739	756	738.8	13.40K	2.21%	
2-Dec-16	774.91	755.36	779.21	755.15	13.41K	2.59%	
3-Dec-16	765.27	774.88	774.88	755.99	5.73K	-1.24%	
4-Dec-16	768.5	765.46	769.99	760.9	4.20K	0.42%	
5-Dec-16	750.62	768.5	768.99	744.59	10.07K	-2.33%	
6-Dec-16	757.36	750.62	758.5	750.44	5.28K	0.90%	
7-Dec-16	765.01	757.18	772.15	749.11	10.69K	1.01%	
8-Dec-16	765.01	765.01	773.2	762.66	4.75K	0.00%	
9-Dec-16	770.5	765.01	772.72	765	3.65K	0.72%	
10-Dec-16	772.9	770.5	777.77	769.99	3.36K	0.31%	
11-Dec-16	770.21	772.9	773.73	761.84	4.14K	-0.35%	
12-Dec-16	777.99	770.21	784.1	770.21	6.76K	1.01%	
13-Dec-16	775	777.99	788.86	763.7	5.58K	-0.38%	
14-Dec-16	774.49	775	781.16	771.17	3.68K	-0.07%	
15-Dec-16	777.43	774.49	780.11	774.49	3.18K	0.38%	
16-Dec-16	784.17	777.43	785.03	775.86	4.77K	0.87%	
17-Dec-16	790.99	784.17	793	784.17	6.20K	0.87%	
18-Dec-16	790.21	790.99	792.8	784.39	2.43K	-0.10%	
19-Dec-16	790.59	790.21	792.21	787.96	2.15K	0.05%	
20-Dec-16	797.99	790.59	802.33	788.01	6.99K	0.94%	
21-Dec-16	829.99	798.77	830.5	794.99	16.22K	4.01%	
22-Dec-16	859.2	829.34	873.86	825	15.25K	3.52%	
23-Dec-16	918.99	859.2	920	859	26.03K	6.96%	
24-Dec-16	895.24	918.99	919.85	882.79	7.39K	-2.58%	
25-Dec-16	897.99	895.24	901.48	858.63	12.04K	0.31%	
26-Dec-16	906.4	898	919.99	894.21	11.83K	0.94%	
27-Dec-16	936.32	906.4	940	903.51	9.19K	3.30%	
28-Dec-16	981.7	936.43	983	936.38	20.82K	4.85%	
29-Dec-16	972.63	981.7	983	948.99	22.56K	-0.92%	
30-Dec-16	959.26	974.74	974.74	929.75	19.36K	-1.37%	
31-Dec-16	966.58	959.16	968	945.01	7.16K	0.76%	
1-Jan-17	998.99	966.58	"1,006.50"	961.26	13.44K	3.35%	
2-Jan-17	"1,019.30"	999.24	"1,034.80"	997.3	21.82K	2.03%	
3-Jan-17	"1,037.50"	"1,019.30"	"1,038.70"	"1,013.50"	14.11K	1.79%	
4-Jan-17	"1,139.60"	"1,037.50"	"1,150.00"	"1,036.40"	53.73K	9.84%	
5-Jan-17	"1,003.20"	"1,139.80"	"1,166.00"	865.38	91.20K	-11.97%	
6-Jan-17	898	"1,003.80"	"1,025.00"	871	57.40K	-10.49%	
7-Jan-17	908.84	898.5	911	816.1	40.60K	1.21%	
8-Jan-17	915.9	908.84	942.5	890	30.75K	0.78%	
9-Jan-17	903	915.9	916.1	876.3	16.59K	-1.41%	
10-Jan-17	905.76	903	917.88	895.5	12.14K	0.31%	
11-Jan-17	778.58	905.76	922.63	760	62.87K	-14.04%	
12-Jan-17	804.58	779.54	831.16	738.66	35.91K	3.34%	
13-Jan-17	828.12	804.58	832.29	776	25.88K	2.93%	
14-Jan-17	815.3	828.12	838.54	800.71	12.53K	-1.55%	
15-Jan-17	820.74	815.3	822.98	805.13	5.39K	0.67%	
16-Jan-17	830.1	820.74	837.89	814.79	7.65K	1.14%	
17-Jan-17	903.99	830.1	910.77	828	27.34K	8.90%	
18-Jan-17	887.76	903.99	913.85	847.3	21.30K	-1.80%	
19-Jan-17	900.29	887.6	908.2	884.57	15.08K	1.41%	
20-Jan-17	895.96	900.29	904.5	883.34	9.49K	-0.48%	
21-Jan-17	924.02	895.74	931.01	893.89	12.17K	3.13%	
22-Jan-17	923.72	924.02	939.73	892	21.84K	-0.03%	
23-Jan-17	910.03	923.72	928.82	910.03	9.63K	-1.48%	
24-Jan-17	886.1	908.41	927	884.2	20.73K	-2.63%	
25-Jan-17	893.35	886.1	899.61	884.2	10.48K	0.82%	
